paper_id,exam_body,display_title,post_or_exam_title_from_source,website_heading,department_as_listed_by_archive,basic_pay_scales,case_id,year,paper_url,source_archive_url,authenticity_label,official_commission_file,verification_note,verified_on
450,Punjab Public Service Commission (PPSC),SOCIAL WELFARE PAPER 20%GK held on 26-04-2025,SOCIAL WELFARE PAPER 20%GK,PPSC paper for: SOCIAL WELFARE PAPER 20%GK,SOCIAL WELFARE & BAIT UL MAAL DEPARTMENT GOVERNMENT OF PUNJAB Department,[],,2025,https://pacegkacademy.com/PPSC-Past-Paper-Question/450,https://pacegkacademy.com/PPSC-Past-Papers/6,candidate_recalled_or_third_party_model_paper,False,Post title and department are indexed from the public archive. The paper is not labelled official unless an official PPSC file is separately linked.,2026-07-16
497,Punjab Public Service Commission (PPSC),SDEO PERA GK Held on 21.12.2025,SDEO PERA GK,PPSC paper for: SDEO PERA GK,Punjab Enforcement and Regulatory Authority (PERA) Department,[],,2025,https://pacegkacademy.com/PPSC-Past-Paper-Question/497,https://pacegkacademy.com/PPSC-Past-Papers/6,candidate_recalled_or_third_party_model_paper,False,Post title and department are indexed from the public archive. The paper is not labelled official unless an official PPSC file is separately linked.,2026-07-16
611,Punjab Public Service Commission (PPSC),Persian Combined Competitive Examination (2023) Held in 2025,Persian Combined Competitive Examination (2023),PPSC paper for: Persian Combined Competitive Examination (2023),Provincial Management Service(PMS) Department,[],,2025,https://pacegkacademy.com/PPSC-Past-Paper-Question/611,https://pacegkacademy.com/PPSC-Past-Papers/6,candidate_recalled_or_third_party_model_paper,False,Post title and department are indexed from the public archive. The paper is not labelled official unless an official PPSC file is separately linked.,2026-07-16
475,Punjab Public Service Commission (PPSC),Pakistan Studies: Combined competitive Examination 2023 Held in 2025,Pakistan Studies: Combined competitive Examination 2023,PPSC paper for: Pakistan Studies: Combined competitive Examination 2023,Provincial Management Service(PMS) Department,[],,2025,https://pacegkacademy.com/PPSC-Past-Paper-Question/475,https://pacegkacademy.com/PPSC-Past-Papers/6,candidate_recalled_or_third_party_model_paper,False,Post title and department are indexed from the public archive. The paper is not labelled official unless an official PPSC file is separately linked.,2026-07-16
610,Punjab Public Service Commission (PPSC),Pakistan Studies Combined Competitive Examination (2023) Held in 2025,Pakistan Studies Combined Competitive Examination (2023),PPSC paper for: Pakistan Studies Combined Competitive Examination (2023),Provincial Management Service(PMS) Department,[],,2025,https://pacegkacademy.com/PPSC-Past-Paper-Question/610,https://pacegkacademy.com/PPSC-Past-Papers/6,candidate_recalled_or_third_party_model_paper,False,Post title and department are indexed from the public archive. The paper is not labelled official unless an official PPSC file is separately linked.,2026-07-16
444,Punjab Public Service Commission (PPSC),PMS Ministerial (13-04-2025),PMS Ministerial,PPSC paper for: PMS Ministerial,Provincial Management Service(PMS) Department,[],,2025,https://pacegkacademy.com/PPSC-Past-Paper-Question/444,https://pacegkacademy.com/PPSC-Past-Papers/6,candidate_recalled_or_third_party_model_paper,False,Post title and department are indexed from the public archive. The paper is not labelled official unless an official PPSC file is separately linked.,2026-07-16
471,Punjab Public Service Commission (PPSC),PLANNING OFFICER (BS-17) GK 20% (28-06-2025),PLANNING OFFICER (BS-17) GK 20%,PPSC paper for: PLANNING OFFICER (BS-17) GK 20%,SPECIALIZED HEALTHCARE & MEDICAL EDUCATION DEPARTMENT Department,[17],,2025,https://pacegkacademy.com/PPSC-Past-Paper-Question/471,https://pacegkacademy.com/PPSC-Past-Papers/6,candidate_recalled_or_third_party_model_paper,False,Post title and department are indexed from the public archive. The paper is not labelled official unless an official PPSC file is separately linked.,2026-07-16
478,Punjab Public Service Commission (PPSC),"PLANNING OFFICER (BS-17) , (22-06-2025) ADD# 15, 7D2025",PLANNING OFFICER (BS-17),PPSC paper for: PLANNING OFFICER (BS-17),SPECIALIZED HEALTHCARE & MEDICAL EDUCATION DEPARTMENT Department,[17],,2025,https://pacegkacademy.com/PPSC-Past-Paper-Question/478,https://pacegkacademy.com/PPSC-Past-Papers/6,candidate_recalled_or_third_party_model_paper,False,Post title and department are indexed from the public archive. The paper is not labelled official unless an official PPSC file is separately linked.,2026-07-16
446,Punjab Public Service Commission (PPSC),Municipal Officer Gk (12-04-2025-0,Municipal Officer Gk,PPSC paper for: Municipal Officer Gk,Local government & community development department Department,[],,2025,https://pacegkacademy.com/PPSC-Past-Paper-Question/446,https://pacegkacademy.com/PPSC-Past-Papers/6,candidate_recalled_or_third_party_model_paper,False,Post title and department are indexed from the public archive. The paper is not labelled official unless an official PPSC file is separately linked.,2026-07-16
623,Punjab Public Service Commission (PPSC),Municipal Officer (BS-17) Held in 2025,Municipal Officer (BS-17),PPSC paper for: Municipal Officer (BS-17),Local Government Department,[17],,2025,https://pacegkacademy.com/PPSC-Past-Paper-Question/623,https://pacegkacademy.com/PPSC-Past-Papers/6,candidate_recalled_or_third_party_model_paper,False,Post title and department are indexed from the public archive. The paper is not labelled official unless an official PPSC file is separately linked.,2026-07-16
